climb_id,technical_grade,eastings,northings
227857,6a,322054.08563598274,508181.2223233511
48042,5c,316923.4025981021,507715.3714404206
48043,5c,316923.4025981021,507715.3714404206
48045,6a,316923.4025981021,507715.3714404206
115733,6a,313577.30032834684,505662.8446736892
115735,6a,313577.30032834684,505662.8446736892
1233,5c,313577.30032834684,505662.8446736892
1236,5c,313577.30032834684,505662.8446736892
360995,5c,321114.5893472696,510089.4518604382
423040,5c,321114.5893472696,510089.4518604382
423041,5c,321114.5893472696,510089.4518604382
8204,5c,321114.5893472696,510089.4518604382
298457,5c,321120.37168024114,510423.24554184056
298459,6a,321120.37168024114,510423.24554184056
298460,5c,321120.37168024114,510423.24554184056
39889,5c,321120.37168024114,510423.24554184056
48702,5c,321120.37168024114,510423.24554184056
66230,5c,321120.37168024114,510423.24554184056
74486,5c,321120.37168024114,510423.24554184056
142596,5c,415672.73330401425,463811.14900138276
142598,6a,415672.73330401425,463811.14900138276
186352,6b,413222.9796290101,473817.5608330567
186381,5c,413222.9796290101,473817.5608330567
186389,6b,413222.9796290101,473817.5608330567
186393,6c,413222.9796290101,473817.5608330567
186408,6b,413222.9796290101,473817.5608330567
186409,6c,413222.9796290101,473817.5608330567
59042,6a,413222.9796290101,473817.5608330567
36481,5c,325436.35045928904,512799.02258850366
132335,6a,401091.4715362513,405151.0042108914
72538,5b,401091.4715362513,405151.0042108914
266901,5c,319964.01268897473,510999.91813630273
268940,5c,319964.01268897473,510999.91813630273
269258,5c,319964.01268897473,510999.91813630273
269259,5c,319964.01268897473,510999.91813630273
420746,5c,319964.01268897473,510999.91813630273
5864,5b,416387.5023032845,465260.0670228107
5868,6a,416387.5023032845,465260.0670228107
8096,5c,330919.4515292375,515606.0677997839
8103,6a,330919.4515292375,515606.0677997839
337526,6a,332288.3280672753,516253.2197950331
337527,5c,332288.3280672753,516253.2197950331
32818,6a,437893.0904539749,451476.9175764434
28407,5c,437637.56124011806,442462.1580876247
28409,6c,437637.56124011806,442462.1580876247
28412,5b,437637.56124011806,442462.1580876247
28414,5c,437637.56124011806,442462.1580876247
28420,6a,437637.56124011806,442462.1580876247
137714,6a,422440.5874524192,444478.648720528
28628,5c,422440.5874524192,444478.648720528
28634,6a,422440.5874524192,444478.648720528
32783,6a,422440.5874524192,444478.648720528
