crag_id,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,latitude,longitude,name,num_climbs,region,rock_type,x,y,num_winter_climbs
16,0.0,0.0,2.8947368421052633,5.7894736842105265,0.0,0.0,0.0,0.0,0.0,0.0,2.3157894736842106,55.944,-3.17,Salisbury Crags (Edinburgh),124,Midlothian,Dolerite,327022.3545711627,672946.702835784,2
23,0.9361702127659575,0.0,2.4574468085106385,1.2872340425531916,0.0,0.9361702127659575,1.872340425531915,0.9361702127659575,1.6382978723404256,0.11702127659574468,0.8191489361702128,56.928,-3.26,Creag an Dubh Loch,100,Aberdeenshire,Granite,323409.0093635252,782562.7623766047,31
24,0.845414847161572,0.8934497816593886,0.9799126637554585,1.1816593886462883,1.4122270742358078,0.8550218340611353,0.634061135371179,1.450655021834061,0.7973799126637554,0.6148471615720524,1.3353711790393012,56.956,-3.241,Lochnagar,163,Aberdeenshire,Granite,324621.96732969454,785658.2026621467,139
25,0.5240436181623167,0.8081873435824097,0.975330711476582,1.331247765462996,0.9910618519842689,1.139524490525563,0.9704147300679299,1.0913478727207722,1.1965498748659278,0.7373972112978191,1.2348945298534144,57.109,-3.661,Coire an t-Sneachda,201,Invernesshire,Granite,299494.6952892279,803229.5533173486,146
28,0.2268041237113402,1.436426116838488,0.8316151202749141,1.5498281786941581,1.436426116838488,1.0962199312714778,0.9450171821305843,1.020618556701031,0.3402061855670103,0.6804123711340206,1.436426116838488,57.096,-3.659,Hell's Lum,99,Moray,Granite,299580.6256715879,801779.6876769683,28
32,0.3859649122807018,1.0614035087719298,1.736842105263158,1.1578947368421053,1.4473684210526316,1.1578947368421053,0.2894736842105263,1.8333333333333335,0.6754385964912281,0.0,1.2543859649122808,57.092,-3.65,Shelterstone Crag,74,Moray,Granite,300115.10236421286,801321.2571911318,29
33,0.5238095238095238,0.5238095238095238,0.0,1.0476190476190477,0.0,2.0952380952380953,1.0476190476190477,1.5714285714285714,0.0,0.5238095238095238,3.6666666666666665,57.078,-3.625,Creag a'choire Etchachan,90,Aberdeenshire,Granite,301592.72580703127,799726.6710458517,38
34,1.8333333333333335,0.3666666666666667,0.7333333333333334,1.4666666666666668,0.3666666666666667,1.4666666666666668,2.2,1.1,0.3666666666666667,0.7333333333333334,0.3666666666666667,57.072,-3.645,Coire Sputan Dearg,118,Aberdeenshire,Granite,300364.3764607401,799087.9138939386,59
37,0.0,0.0,7.15,1.8333333333333335,0.0,0.55,0.0,0.0,0.0,0.0,1.4666666666666668,57.034,-4.188,"Creag Dubh, Newtonmore",203,Highland,Schist,267313.0076412754,795783.6397022612,7
71,0.20853080568720378,0.4691943127962085,3.1279620853080567,1.772511848341232,0.5213270142180094,0.9905213270142179,0.20853080568720378,0.8341232227488151,0.36492890995260663,0.36492890995260663,2.1374407582938386,56.861,-3.238,"Coire Fee, Glen Clova",43,Angus,Schist,324612.92610925005,775080.7736916034,35
72,0.6209677419354839,0.532258064516129,1.064516129032258,1.064516129032258,0.6209677419354839,1.7741935483870968,0.3548387096774193,1.1532258064516128,1.1532258064516128,0.7096774193548386,1.9516129032258063,56.857,-3.185,"Winter Corrie, Driesh",30,Angus,Schist,327836.65016390185,774578.3127006494,29
74,0.8804960541149943,0.8618940248027057,0.6882750845546787,1.302142051860203,1.5377677564825254,0.9859075535512964,0.5580608793686583,0.8742953776775648,0.979706877113867,1.2463359639233371,1.085118376550169,57.105,-3.681,Coire an Lochain (Cairngorm),128,Invernesshire,Granite,298272.4945469085,802814.0251328673,103
77,0.8461538461538461,0.0,1.2692307692307692,2.1153846153846154,0.8461538461538461,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.4230769230769231,2.5384615384615383,1.6923076923076923,57.093,-3.469,Garbh Choire of Beinn a'Bhuird,62,Aberdeenshire,Granite,311084.3787977026,801181.8536139629,37
78,0.0,0.8799999999999999,2.6399999999999997,0.0,0.0,0.0,0.0,1.3199999999999998,1.3199999999999998,0.0,4.84,56.969,-2.633,Clach na Beinn,64,Aberdeenshire,Granite,361612.6892750313,786598.2060029834,9
178,0.23017621145374448,0.30286343612334804,2.1685022026431717,1.6596916299559472,0.5936123348017621,3.6222466960352424,0.0605726872246696,0.6299559471365639,0.2786343612334802,0.1211453744493392,1.3325991189427313,56.952,-4.602,Creag Meagaidh,100,Highland,Schist,241846.7889803157,787540.8765254656,52
229,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5,-4.36,Mauchline Gorge,30,Ayrshire,Sandstone,251026.30256546618,625444.3320087766,1
277,0.0,1.222222222222222,1.222222222222222,0.0,0.0,3.6666666666666665,0.0,0.0,4.888888888888888,0.0,0.0,55.61,-5.248,Beinn Nuis,10,Arran,Granite,195526.0493107142,639942.9964079367,6
280,1.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,4.230769230769231,0.0,0.0,5.076923076923077,56.937,-3.257,Eagle Rocks,30,Aberdeenshire,Granite,323610.0168798729,783561.1598875518,8
294,0.0,0.0,1.222222222222222,0.0,2.444444444444444,2.444444444444444,0.0,1.222222222222222,2.444444444444444,0.0,1.222222222222222,57.663,-4.934,An Coileachan,28,Cromarty,Schist,225073.99167399088,867467.2120256023,9
295,0.9166666666666667,1.8333333333333335,1.8333333333333335,0.0,0.9166666666666667,1.8333333333333335,0.0,0.0,0.9166666666666667,0.0,2.75,57.697,-5.049,Sgurr nan Clach Geala,21,Cromarty,Schist,218386.78557686272,871552.978276049,20
