eastings,northings,crag_id,name_crag
265152.00243854884,330159.89309003064,19127,Carreg y Shrek
265963.0530523943,330248.64740527346,19122,Carreg y Morwynion
274370.3511546562,342600.04870846815,8214,Carreg y Foel Gron
273296.384536973,360437.2541296835,2604,Clogwyn yr Eryr (Crafnant)
266302.77477414487,330350.54913960607,3929,Craig y Groes
265733.2704454429,329253.2363048803,9844,Llechau Mawr
262710.22738789907,327223.1799702515,2242,Gareg-Iwyd
266076.14647778246,329466.34697476827,19117,Min Pistyll
266140.4074575815,329353.2583104685,19123,Tan y Bwrdd
266137.32853337104,329242.03428561083,19124,Y Bwrdd
262906.04148181365,326995.0042755338,2243,Vague Dome
262893.43862300063,326550.1131903483,23360,Ramp Crags
277767.7893475504,359875.76348807866,8629,Craig Bwlch-yr-haearn
264969.02935020707,323597.71330629976,20054,Craig Bodlyn
263666.1117070535,322855.0297348173,19833,Llawlech
280768.8984763004,354012.4370906626,873,Craig Dinas
222436.61287927305,383214.0440704258,670,Breakwater Quarry
221887.13847480522,382789.1140656635,616,Holyhead Mountain
271211.25838500436,312186.2439753594,2510,Craig Cau (Cadair Idris)
221579.15578223573,383468.9014207046,598,Gogarth North Stack and Main Cliff
278049.24063359207,383910.7044923074,21357,Dutchman's Zawn
281206.0305450913,382272.42662099353,3584,Craig y Don
288886.55781036674,377300.81918631465,1009,Castle Inn Quarry
269278.09692628565,305671.00274391694,3472,Bryn Eglwys Quarry
305975.88189659524,326745.4422923491,2632,Craig Rhiwarth
307309.24120170827,329501.5672964863,11174,Pistyll Rhaeadr
280390.6512567668,289359.8443829155,17849,Craig yr Eglwys
340221.2839771612,365586.51480797614,11539,Chester Racecourse Walls
323428.2255893209,347800.7058942981,422,World's End
347577.00810975046,322889.27233826066,1065,Harmer Hill
322396.95660037774,346259.5041069853,424,Twilight Area
321981.74058063014,345487.3503238968,425,Pinfold Area
321976.32419646974,345153.6341518198,1717,Monk's Buttress
321967.29737036687,344597.44089291926,426,Dinbren Crags
321372.4970759067,361520.13574061444,418,Maeshafn
338494.91169400665,319213.50078766927,1064,Nesscliffe
385839.7125608726,357334.1310774165,1608,Mow Cop
390270.8179428725,363775.3758019331,907,Bosley Cloud
400700.5590969951,350415.6292503748,1598,Belmont Hall Crags
400030.44439266267,362764.0169205929,895,The Five Clouds
404217.6936018204,391690.930807484,1568,Wormstones
408878.4533402963,386913.3810526675,940,Kinder Southern Edges
415507.3557426268,373580.00636500603,966,Tideswell Dale
408143.4996910099,388803.3754777753,134,Kinder Scout Downfall Area
416711.22976750234,372694.03620820155,140,Water-cum-Jolly
400364.754623391,362652.77461027616,797,Roaches Upper Tier
400498.49732934765,362430.2873443177,105,Roaches Lower Tier
400297.8666682615,363320.26037996134,798,Roaches Skyline
400832.941841285,361651.5900058306,899,Hen Cloud
400097.31469151704,365322.72735473444,978,Gradbach Hill
403182.4921145112,347746.6729925611,960,Harston Rock (Upper Churnet)
401902.7568815512,362208.1097668762,106,Ramshaw Rocks
401902.17519981356,363765.5835694378,900,Newstones
356985.1068176726,296431.17891562835,1067,Ippikins Rock
404322.49552301446,347970.026385541,1599,Oldridge Pinnacle
405131.4764784098,343965.96959507064,8979,Stoney Dale
404731.6142880601,340961.96170585277,1600,Great Gate Buttress
405199.53904023167,343076.0814845662,21703,Dimmingsdale and Threapwood Woods
408691.1834306374,342747.29711990006,21700,Ina’s and Alton Cliff
409874.83698836324,354986.6207103439,125,Thor's Cave (Manifold Valley)
410680.4305496248,354098.34978567075,142,Beeston Tor (Manifold Valley)
400097.3880247254,385236.5146711462,149,New Mills Torrs
409784.93190294475,366333.7440538944,150,Aldery Cliff
402893.96922610106,382456.0352441847,939,Buxworth Railway Crag
405228.7636664758,378452.9301248457,137,Castle Naze
408505.3530293602,372116.2987654499,959,Cow Dale (Craig-y-Biceps)
409775.25371158734,371117.4510666403,976,Deep Dale
413011.9295066154,358887.69727172574,961,Pike Crag
411172.49898332,373011.7354059579,2651,Great Rocks Dale
399765.2787419747,393691.7252759304,944,Broadbottom Quarry
413241.36107284704,372794.4784309293,965,Blackwell Dale
398902.48277406127,396695.7139643357,151,Hobson Moor Quarry
412834.5065915081,375240.88979564834,997,Peter Dale
452759.9559897439,365167.4508864716,1378,Pleasley Vale
435194.4355769103,345203.613334999,15934,Milford Crag
434194.9515145894,353651.44927503687,2155,The Secret Garden
433401.1056223653,352199.6218715726,923,Shining Cliff
433317.9370268341,354535.3099309255,1317,Duke's Quarry
433382.6002033563,354869.5103985528,919,Robin Hood Quarries
433442.61719264375,355871.1860617025,4032,Leashaw Brow
435338.58220997517,362114.8516788358,22111,Milltown Quarry
434476.443272543,361107.3151770294,10912,Ravensnest Tor
434338.69784339785,361662.59027675184,2140,Cocking Tor
430562.0067524782,356074.5401393495,1243,Bauston Tor
433664.46810677514,362436.58438333625,3757,Bradley Edge and Quarry
429425.80950943,355733.7127444677,97,Black Rocks
428697.8648109398,354283.0724556254,948,Lime Kiln Quarry (Wirksworth)
428758.8682974661,355284.68461579765,951,North East Quarry (Wirksworth)
428431.2574238,354058.9929150825,950,Dale Quarry (Wirksworth)
429673.75457433506,358961.49762797676,119,High Tor
429670.3238132399,359517.73043320194,996,Bend Tor
429868.9720736927,359852.7125637938,1354,Pic Tor
428615.020519707,356952.5785083155,977,Via Gellia Buttress
429660.7164720148,361075.1847746277,21353,Upper Matlock Quarries
426281.125127485,355270.5332606652,1258,Arm Lees Quarry
427974.33974699525,363512.59890621307,957,Hall Moor Quarry
427591.4291654103,371965.52123772464,96,Chatsworth Edge
421886.83367031766,364371.03196092445,1360,Rheinstor
427184.088128329,373186.97117027204,95,Gardoms Edge
455809.0888646418,315025.5897315087,1158,Craig Buddon
453185.1892026924,314106.2366656577,1171,Forest Rock
424897.2374483157,376734.62219462474,22,Froggatt Edge
425490.11994134175,378072.77890442987,892,Tegness Quarries
422168.04461366887,375831.1911922493,138,Stoney Middleton
425549.6353666286,379408.13539867935,110,Yarncliffe Quarry
421500.75917340274,375939.40244087635,954,Stoney West
426607.02335526905,380971.4540524328,1310,Burbage South Quarries
426872.19948819,381195.4456774534,89,Burbage South Edge
424881.611849907,379738.3730177614,91,Lawrencefield
420899.6950145681,376159.2472491374,148,Horseshoe Quarry
417712.47477012477,372586.37317615474,982,Hay Top
424878.13873958786,380405.87505170645,19,Millstone Edge
426005.13992161717,381413.1560724027,893,Carl Wark
417374.82984422176,373697.6495856793,116,Ravensdale
415078.4069930982,382701.26788620953,955,Cave Dale (Castleton)
409072.5624559651,389806.31399704906,133,Kinder Northern Edges
172676.30642299345,227995.65910742286,21062,St. David's Head West
173674.3497926943,228730.24353813345,62,St. David's Head East
175757.15396694758,229082.00112517335,19396,St. David's North
172200.8519740696,225120.62842661084,3302,Porthstinian Area
176152.18796291001,224051.11551162443,69,Caerfai Bay
177400.92620840663,224218.24091098062,8,Carreg-y-Barcud Area
185048.503118674,233686.41156078974,19347,Abercastle Area
176482.61464187107,208217.42253688292,23308,Marloes Peninsula
200934.0805677464,236925.42290959088,8776,Mynydd Dinas
238739.79183361403,260384.10038010438,20365,New Quay
235922.84383647377,257916.20159546973,22246,Castell Bach
292626.6852399089,264818.2398805496,19614,Caban Coch/ Craig Gigfran
272217.8674397251,197866.01623665582,24117,Drumau Road
264314.2482497727,192174.28818190243,20649,Swansea Bay
253794.1528742306,187793.2564615619,15,Three Cliffs Bay
303476.5206036822,207962.7926827001,1033,Cefn Coed
309677.6577630254,214967.64351623767,24339,Trefil quarry - Dyffryn Buttress(Chwar-yr-Hendre)
314613.5713879942,221444.904325996,12209,Buckland Hill
241040.05675974485,188066.34303766198,18361,Rhossili Beach
