name,value
Monday,0.10592660363932094
Tuesday,0.10135203822303548
Wednesday,0.08722171393717597
Thursday,0.10236860831554336
Friday,0.10470671952831148
Saturday,0.2711192436718512
Sunday,0.2273050726847616
